rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
409,389,5,4,0.4,3,0.08,0.15,-0.98128765,9901.87123479,-1.41960047,417,126.83442245,-0.02786694,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
410,629,8,4,0.5,4,0.08,0.15,-0.98181925,9901.81807477,-1.23970624,398,120.63990784,-0.02667105,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
411,323,5,3,0.6,4,0.08,0.15,-0.9837866,9901.62133995,-1.08246041,460,139.90418149,-0.02844282,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
412,685,13,2.5,0.6,2,0.03,0.15,-0.98388962,9901.61103752,-1.2259171,930,111.18866967,-0.03111314,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
413,37,3,2.5,0.6,2,0.03,0.15,-0.98765761,9901.23423864,-1.08598479,1035,123.66378736,-0.03541595,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
414,154,3,3.5,0.6,3,0.05,0.3,-0.98966295,9901.0337046,-1.97031293,837,165.85583119,-0.01728805,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
415,529,8,3,0.6,3,0.03,0.15,-0.99065026,9900.93497373,-1.35478194,880,104.90317764,-0.03232121,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
416,73,3,3,0.5,2,0.03,0.15,-0.99126551,9900.87344947,-1.12673252,1043,124.64801116,-0.03526798,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
417,160,3,3.5,0.6,4,0.05,0.3,-0.99465677,9900.53432313,-1.33265252,700,139.23196915,-0.0170317,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
418,721,13,3,0.5,2,0.03,0.15,-0.99496918,9900.50308239,-1.19592448,872,104.23276888,-0.03043421,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
419,316,5,3,0.6,3,0.05,0.3,-0.99647402,9900.3525981,-1.99202916,897,177.75633985,-0.01708952,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
420,163,3,4,0.4,2,0.03,0.15,-0.99752323,9900.2476774,-1.24430904,940,112.32535722,-0.03340895,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
421,703,13,3,0.4,2,0.03,0.15,-0.99769481,9900.23051934,-1.24043597,864,103.28116324,-0.03035805,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
422,279,5,3,0.4,3,0.05,0.15,-0.99871117,9900.12888327,-1.40545941,566,112.5812596,-0.03075002,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
423,651,13,2.5,0.4,2,0.05,0.15,-0.99923939,9900.07606064,-1.27793152,695,138.57088578,-0.0304838,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
424,63,3,3,0.4,3,0.05,0.15,-1.00157103,9899.84289705,-1.48104197,535,106.36262314,-0.03151709,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
425,53,3,2.5,0.6,4,0.08,0.15,-1.00251118,9899.7488824,-1.19563998,424,130.2205931,-0.0315127,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
426,775,13,3.5,0.5,2,0.03,0.15,-1.00378041,9899.62195926,-1.08681594,829,98.97340326,-0.02975096,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
427,20,3,2.5,0.5,2,0.03,0.3,-1.00393,9899.60699962,-1.41521197,1199,142.43738811,-0.02125361,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
428,795,13,3.5,0.6,2,0.05,0.15,-1.00409037,9899.59096297,-1.08773348,585,116.35398612,-0.02812053,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
429,199,3,4,0.6,2,0.03,0.15,-1.00542844,9899.45715573,-1.14198042,956,114.19816686,-0.03350347,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
430,343,5,3.5,0.5,2,0.03,0.15,-1.00648851,9899.35114889,-1.28427019,961,114.90463163,-0.03463932,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
431,218,5,2.5,0.4,2,0.03,0.3,-1.00667563,9899.3324374,-1.39685759,1229,146.15957833,-0.01908765,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
432,561,8,3.5,0.5,2,0.05,0.15,-1.00983962,9899.01603831,-1.2656093,729,145.08068493,-0.03058748,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
433,465,8,2.5,0.5,4,0.05,0.15,-1.00996788,9899.00321196,-1.16350857,575,114.60472065,-0.03112209,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
434,495,8,3,0.4,3,0.05,0.15,-1.01422144,9898.57785564,-1.43814627,574,114.18149035,-0.02993835,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
435,88,3,3,0.5,4,0.05,0.3,-1.02012712,9897.98728843,-1.444854,634,126.43869923,-0.01895797,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
436,705,13,3,0.4,2,0.05,0.15,-1.02179589,9897.82041086,-1.24955735,627,124.90169387,-0.02937917,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
437,234,5,2.5,0.4,4,0.08,0.3,-1.02270317,9897.7296826,-1.42870914,566,175.65694366,-0.01707009,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
438,779,13,3.5,0.5,2,0.08,0.15,-1.02283541,9897.71645909,-1.11146572,436,131.28687625,-0.0274937,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
439,175,3,4,0.4,4,0.03,0.15,-1.02344055,9897.65594536,-1.1827674,637,76.09839707,-0.03312326,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
440,369,5,3.5,0.6,3,0.05,0.15,-1.02387228,9897.61277249,-1.48933656,634,125.96595048,-0.03071843,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
441,361,5,3.5,0.6,2,0.03,0.15,-1.02406113,9897.59388729,-1.27862456,971,116.08366026,-0.03530007,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
442,833,13,4,0.5,2,0.08,0.15,-1.02517108,9897.48289234,-1.18222417,404,121.57619111,-0.02751318,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
443,799,13,3.5,0.6,3,0.03,0.15,-1.02613892,9897.38610794,-1.42631773,728,86.65312441,-0.0311863,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
444,235,5,2.5,0.5,2,0.03,0.15,-1.02754676,9897.24532422,-1.22799969,1089,130.16482832,-0.03692319,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
445,792,13,3.5,0.5,4,0.08,0.3,-1.0333485,9896.66515027,-1.5420074,654,199.64813102,-0.01500101,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
446,181,3,4,0.5,2,0.03,0.15,-1.03502483,9896.49751707,-1.22259366,956,114.18410587,-0.03480628,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
447,417,5,4,0.6,2,0.05,0.15,-1.03634781,9896.36521878,-1.35101194,703,139.98035969,-0.03207717,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
448,847,13,4,0.6,2,0.03,0.15,-1.04255473,9895.74452734,-1.24604633,785,93.63873458,-0.0306163,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
449,695,13,2.5,0.6,3,0.08,0.15,-1.04283552,9895.71644823,-1.44597456,463,140.77356357,-0.02975163,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
450,165,3,4,0.4,2,0.05,0.15,-1.04347878,9895.65212217,-1.33626957,722,143.88539591,-0.03234641,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
451,542,8,3.5,0.4,2,0.03,0.3,-1.04571588,9895.42841218,-1.90024152,1270,150.77612864,-0.01828648,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
452,173,3,4,0.4,3,0.08,0.15,-1.04768466,9895.23153427,-1.4973653,423,128.75248369,-0.0297643,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
453,811,13,4,0.4,2,0.03,0.15,-1.04834866,9895.16513399,-1.25408293,807,96.31579357,-0.03107551,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
454,153,3,3.5,0.6,3,0.05,0.15,-1.04987055,9895.01294538,-1.49616995,621,123.33978864,-0.03282312,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
455,617,8,4,0.5,2,0.08,0.15,-1.05062017,9894.937983,-1.2532127,490,147.35700753,-0.02889444,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
456,687,13,2.5,0.6,2,0.05,0.15,-1.05109758,9894.8902417,-1.26104006,697,138.8761169,-0.03180465,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
457,683,13,2.5,0.5,4,0.08,0.15,-1.05245932,9894.75406815,-1.21507173,406,123.28834488,-0.03008949,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
458,469,8,2.5,0.6,2,0.03,0.15,-1.05329212,9894.6707881,-1.27750381,1097,131.16025487,-0.03514946,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
459,81,3,3,0.5,3,0.05,0.15,-1.05445749,9894.55425088,-1.50944543,563,112.00874989,-0.03257684,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
460,849,13,4,0.6,2,0.05,0.15,-1.05459002,9894.54099811,-1.24450269,559,111.11803358,-0.02952746,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
461,707,13,3,0.4,2,0.08,0.15,-1.05563289,9894.43671063,-1.26649202,460,138.4740955,-0.02896822,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
462,730,13,3,0.5,3,0.05,0.3,-1.05853979,9894.14602081,-1.82802334,847,167.84131045,-0.01660052,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
463,213,3,4,0.6,4,0.05,0.15,-1.06008466,9893.99153439,-1.13119339,523,103.97125302,-0.03175023,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
464,793,13,3.5,0.6,2,0.03,0.15,-1.06427951,9893.57204888,-1.1472643,815,97.2520009,-0.03134595,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
465,430,5,4,0.6,4,0.05,0.3,-1.06508086,9893.49191433,-1.58936565,762,151.7125527,-0.01644223,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
466,441,8,2.5,0.4,3,0.05,0.15,-1.06532807,9893.46719329,-1.43122393,590,117.28465894,-0.03264219,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
467,598,8,4,0.4,2,0.05,0.3,-1.06540178,9893.45982168,-2.17977194,990,197.2657189,-0.01662499,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
468,741,13,3,0.6,2,0.05,0.15,-1.0664852,9893.35147951,-1.18022656,635,126.38982634,-0.03062411,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
469,702,13,2.5,0.6,4,0.08,0.3,-1.06698846,9893.30115439,-1.50719607,648,197.83860424,-0.01613179,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
