rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
749,134,3,3.5,0.5,3,0.03,0.3,-16.25459348,8374.54065224,-16.25602242,4111,1705.13907758,-0.2661184,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
750,652,13,2.5,0.4,2,0.05,0.3,-16.27376666,8372.62333409,-16.2747769,3839,1633.63728418,-0.28758754,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
751,670,13,2.5,0.5,2,0.05,0.3,-16.27387232,8372.61276762,-16.27488256,3892,1648.76818089,-0.29118308,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
752,422,5,4,0.6,3,0.03,0.3,-16.27402526,8372.59747441,-16.28358348,4268,1688.15034918,-0.2714462,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
753,46,3,2.5,0.6,3,0.05,0.3,-16.32310741,8367.68925915,-16.32486669,3625,1589.10568262,-0.29212563,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
754,812,13,4,0.4,2,0.03,0.3,-16.42981687,8357.01831349,-16.42981687,4405,1651.73183897,-0.30067844,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
755,244,5,2.5,0.5,3,0.05,0.3,-16.43823295,8356.17670529,-16.43823295,3643,1624.77300727,-0.26371029,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
756,294,5,3,0.5,2,0.08,0.3,-16.46884706,8353.11529404,-16.4765082,3671,1725.62551354,-0.27642453,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
757,364,5,3.5,0.6,2,0.05,0.3,-16.5182237,8348.17762977,-16.52946038,3942,1662.40016125,-0.29173171,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
758,490,8,3,0.4,2,0.05,0.3,-16.57911733,8342.08826691,-16.58360726,3998,1710.80026815,-0.28418163,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
759,512,8,3,0.5,3,0.03,0.3,-16.60315166,8339.68483357,-16.60367873,4390,1719.45224387,-0.26419008,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
