rank,run_id,max_abs_weight,volume_lookback,spike_multiplier,volume_drop_ratio,pullback_tolerance_pct,breakout_buffer_pct,step_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
148,1291,1,8,4,0.65,0.8,0.05,0.1,-0.50077256,9949.92274449,-1.11626225,119,56.37222714,-0.0173978,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
149,1273,1,8,4,0.65,0.3,0.05,0.1,-0.50502779,9949.49722093,-0.99737698,113,53.15845689,-0.01902986,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
150,638,1,3,4,0.65,0.5,0.1,0.2,-0.50526814,9949.47318595,-1.07331798,147,139.5222559,-0.00780302,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
151,647,1,3,4,0.65,0.8,0.1,0.2,-0.50526814,9949.47318595,-1.07331798,147,139.5222559,-0.00780302,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
152,1253,1,8,4,0.5,0.5,0,0.2,-0.51172608,9948.82739156,-1.16133839,122,127.97284465,-0.00818264,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
153,869,1,5,3,0.65,0.3,0.05,0.2,-0.5118071,9948.81929012,-1.7252983,180,174.65771982,-0.00642161,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
154,622,1,3,4,0.65,0.3,0,0.1,-0.51492257,9948.50774322,-1.01690741,175,91.23754496,-0.01391468,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
155,1137,1,8,3,0.35,0.3,0,0.3,-0.51599048,9948.40095245,-2.35240573,150,208.92166895,-0.00605494,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
156,968,1,5,4,0.65,0.8,0.05,0.2,-0.52157346,9947.84265436,-1.55888152,140,142.03893497,-0.00867822,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
157,950,1,5,4,0.65,0.3,0.05,0.2,-0.5346559,9946.53440996,-1.63012844,135,130.95984582,-0.00887941,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
