rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,min_price_move_pct,cooldown_bars,max_hold_bars,stop_loss_pct,take_profit_pct,max_trades_per_day,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
66,592,13,3,0.4,4,0.03,0.3,0.1,10,60,0.8,1.2,30,-0.47602229,9952.39777062,-0.57213586,298,50.99479836,-0.03953708,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
67,665,13,3,0.4,4,0.03,0.3,0.1,20,60,0.5,1.2,60,-0.47768424,9952.23157597,-0.4924323,279,39.25083645,-0.0501932,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
68,666,13,3,0.4,4,0.03,0.3,0.1,20,60,0.5,1.2,100,-0.47768424,9952.23157597,-0.4924323,279,39.25083645,-0.0501932,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
69,226,13,3,0.4,4,0.03,0.3,0.03,20,240,0.5,0.4,30,-0.47785934,9952.21406649,-0.56683876,422,88.22839443,-0.03606938,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
70,659,13,3,0.4,4,0.03,0.3,0.1,20,60,0.5,0.4,60,-0.47853416,9952.1465841,-0.49328724,289,39.74270306,-0.05399598,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
71,660,13,3,0.4,4,0.03,0.3,0.1,20,60,0.5,0.4,100,-0.47853416,9952.1465841,-0.49328724,289,39.74270306,-0.05399598,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
72,407,13,3,0.4,4,0.03,0.3,0.05,20,60,0.3,0.4,60,-0.48132131,9951.86786937,-0.57525238,554,85.05681108,-0.05064417,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
73,650,13,3,0.4,4,0.03,0.3,0.1,20,60,0.3,0.4,60,-0.48194315,9951.80568458,-0.49917883,286,37.36017136,-0.05868294,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
74,651,13,3,0.4,4,0.03,0.3,0.1,20,60,0.3,0.4,100,-0.48194315,9951.80568458,-0.49917883,286,37.36017136,-0.05868294,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
75,580,13,3,0.4,4,0.03,0.3,0.1,10,60,0.5,0.8,30,-0.48392127,9951.60787306,-0.53002608,282,45.00032047,-0.04320935,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
