rank,run_id,max_abs_weight,volume_lookback,spike_multiplier,volume_drop_ratio,pullback_tolerance_pct,breakout_buffer_pct,step_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
1312,1846,1,13,4.5,0.45,0.3,0.02,0.1,-0.21613996,9978.38600403,-0.6598614,85,42.69256255,-0.00622847,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1313,2326,1,21,4,0.2,0.3,0.02,0.1,-0.21673888,9978.32611221,-0.77696352,86,45.9024603,-0.00861171,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1314,1974,1,13,5,0.45,0.1,0.02,0.1,-0.21689044,9978.31095628,-0.94509601,55,26.31460067,-0.0055963,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1315,153,1,5,4,0.2,0.1,0.05,0.05,-0.21689156,9978.31084363,-0.56404785,98,22.01882816,-0.0118119,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1316,425,1,5,4.5,0.45,0.5,0.05,0.05,-0.21820816,9978.17918435,-0.34321056,115,30.78890281,-0.01721511,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1317,241,1,5,4,0.45,0.1,0,0.05,-0.21846178,9978.15382232,-0.52696849,113,31.22535138,-0.01131338,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1318,515,1,5,5,0.35,0.5,0,0.15,-0.21879595,9978.1204049,-0.83995965,106,83.18009567,-0.00696009,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1319,1533,1,13,3.5,0.35,0.5,0.1,0.05,-0.21884287,9978.11571303,-0.50889063,109,24.56270233,-0.00884615,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1320,1666,1,13,4,0.35,0.5,0,0.1,-0.21888752,9978.11124813,-0.70906701,109,52.27302998,-0.00794644,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1321,2614,1,21,5,0.2,0.3,0.02,0.1,-0.21896984,9978.10301563,-0.85140828,61,32.34166505,-0.00974106,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1322,40,1,5,3.5,0.2,0.5,0.02,0.2,-0.21928141,9978.07185918,-1.69828137,133,124.03577385,-0.00286778,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1323,2289,1,21,3.5,0.45,0.5,0,0.05,-0.21992516,9978.00748377,-0.47731896,121,32.36459353,-0.01367799,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1324,529,1,5,5,0.45,0.1,0,0.05,-0.22244329,9977.75567137,-0.32492966,83,20.00207376,-0.0194666,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1325,1739,1,13,4.5,0.2,0.1,0.05,0.15,-0.22275879,9977.72412102,-1.97051555,60,39.98079929,-0.00275813,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1326,1889,1,13,5,0.2,0.3,0,0.05,-0.22275904,9977.72409558,-0.38420569,66,17.38845804,-0.02270484,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1327,1117,1,8,4.5,0.45,0.1,0.1,0.05,-0.22283893,9977.71610707,-0.39688124,74,17.98184845,-0.01909562,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1328,2493,1,21,4.5,0.2,0.5,0.1,0.05,-0.22314226,9977.68577392,-0.43448513,73,17.75293973,-0.01407681,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1329,2713,1,21,5,0.45,0.3,0.05,0.05,-0.22379902,9977.62009798,-0.57420538,64,17.57576298,-0.02125359,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1330,1738,1,13,4.5,0.2,0.1,0.05,0.1,-0.2239957,9977.60043049,-1.40578071,60,26.73214431,-0.00427488,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1331,698,1,5,6,0.45,0.3,0.05,0.1,-0.22449262,9977.5507384,-0.63059484,71,38.34754602,-0.00953793,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1332,561,1,5,5,0.45,0.5,0,0.05,-0.22456001,9977.54399863,-0.31428075,111,29.7676552,-0.01789746,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1333,2557,1,21,4.5,0.45,0.1,0.1,0.05,-0.22503642,9977.49635821,-0.43440453,67,15.95450036,-0.0140972,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1334,1257,1,8,5,0.45,0.1,0.05,0.05,-0.2258355,9977.41644991,-0.292503,66,15.58338491,-0.02553376,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1335,1364,1,8,6,0.35,0.3,0,0.2,-0.22606001,9977.39399868,-1.2534123,63,61.48572046,-0.00505067,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1336,372,1,5,4.5,0.35,0.5,0,0.2,-0.22662476,9977.33752438,-1.32614125,116,123.77145123,-0.00404899,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1337,1053,1,8,4.5,0.2,0.5,0.1,0.05,-0.22789437,9977.21056327,-0.41760741,84,19.60332662,-0.02133705,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1338,167,1,5,4,0.2,0.3,0.02,0.15,-0.22808873,9977.19112714,-1.88323423,116,83.22652281,-0.00356702,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1339,328,1,5,4.5,0.2,0.5,0.02,0.2,-0.22885013,9977.11498732,-1.56980675,100,100.02638009,-0.00334181,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1340,517,1,5,5,0.35,0.5,0.02,0.05,-0.22959982,9977.04001763,-0.30249416,104,26.16722119,-0.02155617,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1341,1979,1,13,5,0.45,0.1,0.05,0.15,-0.23165815,9976.83418465,-1.38024153,54,38.5250104,-0.00392089,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1342,714,1,5,6,0.45,0.5,0.05,0.1,-0.23191249,9976.80875082,-0.60046839,74,39.94625128,-0.00951863,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1343,702,1,5,6,0.45,0.3,0.1,0.1,-0.23256897,9976.74310324,-0.90990802,69,37.57379254,-0.00900042,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1344,1081,1,8,4.5,0.35,0.3,0.05,0.05,-0.23274525,9976.72547499,-0.42231375,88,22.38254185,-0.02166536,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1345,1957,1,13,5,0.35,0.5,0.02,0.05,-0.23302401,9976.6975994,-0.36538911,73,18.16770409,-0.01386737,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1346,64,1,5,3.5,0.35,0.1,0.1,0.2,-0.23390143,9976.60985703,-1.73261659,113,100.61816411,-0.00276151,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1347,1237,1,8,5,0.35,0.5,0.02,0.05,-0.23403704,9976.59629551,-0.38698554,86,21.37208932,-0.02234154,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1348,539,1,5,5,0.45,0.1,0.05,0.15,-0.23440185,9976.55981478,-0.68975921,82,58.12143896,-0.00727307,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1349,261,1,5,4,0.45,0.3,0.02,0.05,-0.23478493,9976.5215072,-0.49557141,135,35.78209361,-0.01539702,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1350,2217,1,21,3.5,0.35,0.1,0.05,0.05,-0.23493224,9976.50677597,-0.77687408,93,21.79619115,-0.01228125,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1351,57,1,5,3.5,0.35,0.1,0.05,0.05,-0.23498525,9976.50147489,-0.5032426,124,31.34243024,-0.0112591,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1352,830,1,8,3.5,0.45,0.1,0.1,0.1,-0.23510812,9976.48918803,-0.83779418,108,49.52429474,-0.00755774,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1353,1717,1,13,4,0.45,0.5,0.02,0.05,-0.23513057,9976.48694343,-0.37207509,109,26.55008062,-0.01291573,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1354,1970,1,13,5,0.45,0.1,0,0.1,-0.23574156,9976.42584401,-0.94509601,55,26.31179625,-0.00609306,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1355,1309,1,8,6,0.2,0.1,0.1,0.05,-0.23644008,9976.35599154,-0.55431869,47,9.96011806,-0.01099911,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1356,1357,1,8,6,0.35,0.1,0.1,0.05,-0.23644008,9976.35599154,-0.55431869,47,9.96011806,-0.01099911,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1357,1850,1,13,4.5,0.45,0.3,0.05,0.1,-0.23653752,9976.34624844,-0.65569942,83,41.49884966,-0.00682012,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1358,675,1,5,6,0.45,0.1,0,0.15,-0.23884622,9976.11537757,-1.11219481,57,43.83745654,-0.00648734,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1359,45,1,5,3.5,0.2,0.5,0.1,0.05,-0.23897634,9976.1023665,-0.58790711,127,27.95141932,-0.00977548,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1360,2297,1,21,3.5,0.45,0.5,0.05,0.05,-0.24090419,9975.90958098,-0.50795279,116,31.15932816,-0.01520211,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1361,1353,1,8,6,0.35,0.1,0.05,0.05,-0.24097699,9975.90230128,-0.55431869,47,9.96064693,-0.01121409,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1362,1253,1,8,5,0.45,0.1,0.02,0.05,-0.24108839,9975.8911612,-0.34091026,67,15.57971187,-0.02652618,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1363,1265,1,8,5,0.45,0.3,0,0.05,-0.24127649,9975.87235147,-0.41062471,84,21.7775116,-0.02560663,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1364,509,1,5,5,0.35,0.3,0.1,0.05,-0.24161789,9975.83821056,-0.62442581,88,21.99173408,-0.01108637,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1365,29,1,5,3.5,0.2,0.3,0.1,0.05,-0.24206425,9975.79357488,-0.58790711,124,27.55579202,-0.01030378,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1366,605,1,5,6,0.2,0.3,0.1,0.05,-0.24207448,9975.79255164,-0.43567076,60,14.38242478,-0.01955776,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1367,474,1,5,5,0.2,0.5,0.05,0.1,-0.24240986,9975.75901354,-0.75170487,90,43.17471902,-0.00756458,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1368,841,1,8,3.5,0.45,0.3,0.05,0.05,-0.24281743,9975.7182567,-0.58757882,128,31.97845585,-0.0132575,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
