rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
335,265,5,2.5,0.6,4,0.03,0.15,-1.07913336,9892.08666429,-1.14368186,823,98.29642542,-0.0547667,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
336,16,3,2.5,0.4,4,0.05,0.3,-1.07967428,9892.03257155,-1.42368512,565,112.22291372,-0.03105876,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
337,381,5,4,0.4,2,0.05,0.15,-1.08224078,9891.77592153,-1.10923242,675,134.21298103,-0.04644212,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
338,123,3,3.5,0.4,4,0.05,0.15,-1.08345708,9891.65429249,-1.15383165,463,92.18349044,-0.04917994,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
339,615,8,4,0.5,2,0.05,0.15,-1.08367834,9891.63216598,-1.18394767,648,128.76058478,-0.04572833,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
340,266,5,2.5,0.6,4,0.03,0.3,-1.08408167,9891.59183336,-1.44629087,949,112.80950524,-0.03481837,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
341,838,13,4,0.5,3,0.05,0.3,-1.08420792,9891.57920799,-1.64832254,806,159.94598873,-0.02407972,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
342,424,5,4,0.6,3,0.05,0.3,-1.08599448,9891.40055216,-1.1732344,878,174.61239422,-0.02496715,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
343,86,3,3,0.5,4,0.03,0.3,-1.08729146,9891.27085373,-1.48448239,740,87.86698738,-0.03060277,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
344,566,8,3.5,0.5,3,0.03,0.3,-1.08841491,9891.15850913,-1.47990326,1005,119.77228964,-0.02712543,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
345,178,3,4,0.4,4,0.05,0.3,-1.08917182,9891.08281819,-1.34250768,636,126.40651008,-0.02708362,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
346,739,13,3,0.6,2,0.03,0.15,-1.0901638,9890.98361966,-1.14929435,968,115.40754293,-0.05100079,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
347,765,13,3.5,0.4,3,0.05,0.15,-1.09108953,9890.89104748,-1.19509152,559,111.16004836,-0.04574491,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
348,476,8,2.5,0.6,3,0.03,0.3,-1.0911054,9890.88946015,-1.44390777,1071,127.81568419,-0.02873461,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
349,862,13,4,0.6,4,0.05,0.3,-1.09116004,9890.88399646,-1.37424167,744,148.11999019,-0.02524519,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
350,170,3,4,0.4,3,0.03,0.3,-1.09163245,9890.83675505,-1.41402603,907,107.66187442,-0.02886149,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
351,814,13,4,0.4,2,0.05,0.3,-1.0945307,9890.54692959,-1.63603591,900,178.46802694,-0.02469917,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
352,260,5,2.5,0.6,3,0.03,0.3,-1.09467525,9890.53247471,-1.59064451,1072,127.61685751,-0.02928207,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
353,333,5,3.5,0.4,3,0.05,0.15,-1.09490977,9890.50902308,-1.17708666,587,116.76820136,-0.04812817,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
354,830,13,4,0.5,2,0.03,0.3,-1.09893332,9890.10666794,-1.52248844,1240,146.4469672,-0.02721719,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
355,177,3,4,0.4,4,0.05,0.15,-1.09935954,9890.06404618,-1.13399315,479,95.31203913,-0.04937766,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
356,664,13,2.5,0.4,4,0.05,0.3,-1.10032319,9889.96768074,-1.61795241,738,146.70045137,-0.02622372,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
357,81,3,3,0.5,3,0.05,0.15,-1.10300052,9889.69994765,-1.14581141,609,121.2509985,-0.05096215,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
358,254,5,2.5,0.6,2,0.03,0.3,-1.10303209,9889.69679077,-1.21531413,1302,154.56255812,-0.02970143,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
359,117,3,3.5,0.4,3,0.05,0.15,-1.10777087,9889.22291264,-1.20097224,579,115.18165017,-0.05040463,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
360,145,3,3.5,0.6,2,0.03,0.15,-1.10933295,9889.06670481,-1.16665946,929,110.93911831,-0.05261209,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
361,387,5,4,0.4,3,0.05,0.15,-1.1094365,9889.05635008,-1.16900994,577,114.76938291,-0.04774151,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
362,686,13,2.5,0.6,2,0.03,0.3,-1.11035918,9888.9640821,-1.27815262,1351,160.02861804,-0.0294998,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
363,63,3,3,0.4,3,0.05,0.15,-1.11057683,9888.9423168,-1.19849595,593,118.01843071,-0.05125954,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
364,195,3,4,0.5,4,0.05,0.15,-1.11166216,9888.83378436,-1.14053092,561,111.57069952,-0.05005068,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
365,213,3,4,0.6,4,0.05,0.15,-1.1152769,9888.47230987,-1.2020508,581,115.51470771,-0.05100913,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
366,19,3,2.5,0.5,2,0.03,0.15,-1.11883118,9888.11688209,-1.14733863,1048,125.04920239,-0.05649939,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
367,317,5,3,0.6,3,0.08,0.15,-1.12069575,9887.93042456,-1.21210622,589,179.73131869,-0.04837009,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
368,698,13,2.5,0.6,4,0.03,0.3,-1.12123864,9887.87613582,-1.53366816,978,116.08702211,-0.03009027,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
