rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
236,319,5,3,0.6,4,0.03,0.15,-0.19258899,9980.7411005,-0.7019923,790,94.67501355,-0.0041334,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
237,799,13,3.5,0.6,3,0.03,0.15,-0.19268984,9980.73101621,-0.88116388,643,77.13451414,-0.00360054,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
238,661,13,2.5,0.4,4,0.03,0.15,-0.19351349,9980.64865063,-0.5264871,701,84.14747248,-0.0039985,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
239,42,3,2.5,0.6,2,0.08,0.3,-0.19395289,9980.60471089,-2.68137933,984,305.15318638,-0.00191589,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
240,482,8,2.5,0.6,4,0.03,0.3,-0.19745426,9980.25457379,-1.39475012,1014,121.0541391,-0.00218851,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
241,831,13,4,0.5,2,0.05,0.15,-0.19761485,9980.23851491,-1.18502665,427,85.3745512,-0.00346016,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
242,415,5,4,0.6,2,0.03,0.15,-0.19955371,9980.04462889,-0.93127201,757,90.97379859,-0.00375492,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
243,85,3,3,0.5,4,0.03,0.15,-0.20081826,9979.91817362,-0.60648958,721,86.52113737,-0.0043794,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
244,739,13,3,0.6,2,0.03,0.15,-0.2026166,9979.73834006,-1.1112385,789,94.37184225,-0.00379781,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
245,591,8,3.5,0.6,4,0.05,0.15,-0.20300655,9979.69934494,-1.0442571,486,97.3641466,-0.00369123,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
246,574,8,3.5,0.5,4,0.05,0.3,-0.20544463,9979.45553658,-1.35634019,741,148.75694103,-0.00192178,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
247,807,13,3.5,0.6,4,0.05,0.15,-0.20762537,9979.23746344,-0.90789031,422,84.58334203,-0.00372574,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
248,847,13,4,0.6,2,0.03,0.15,-0.20858818,9979.14118229,-1.08776544,623,74.65539909,-0.00384928,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
249,121,3,3.5,0.4,4,0.03,0.15,-0.21325446,9978.67455428,-0.49294646,591,70.86418115,-0.00432697,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
250,304,5,3,0.5,4,0.05,0.3,-0.21871989,9978.1280107,-0.97785012,801,160.44521439,-0.00229084,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
251,802,13,3.5,0.6,3,0.05,0.3,-0.21878445,9978.12155453,-1.56030021,728,145.56805478,-0.00198869,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
252,715,13,3,0.4,4,0.03,0.15,-0.22203622,9977.79637826,-0.66496832,653,78.44893673,-0.00435185,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
253,569,8,3.5,0.5,3,0.08,0.15,-0.22344684,9977.65531578,-1.48091647,390,118.89727866,-0.00395025,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
254,218,5,2.5,0.4,2,0.03,0.3,-0.22487608,9977.512392,-2.24261101,1176,139.33485561,-0.00246705,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
255,204,3,4,0.6,2,0.08,0.3,-0.22936601,9977.06339909,-2.85985524,758,232.13394803,-0.0021107,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
256,439,8,2.5,0.4,3,0.03,0.15,-0.22992534,9977.00746552,-0.67970418,785,94.15991837,-0.00465511,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
257,600,8,4,0.4,2,0.08,0.3,-0.23213209,9976.78679091,-2.01077045,596,183.01772391,-0.00201467,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
258,594,8,3.5,0.6,4,0.08,0.3,-0.23358963,9976.64103717,-1.8243321,581,179.52807872,-0.00208177,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
259,157,3,3.5,0.6,4,0.03,0.15,-0.23439542,9976.56045819,-0.79892791,719,86.31582225,-0.00484208,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
260,730,13,3,0.5,3,0.05,0.3,-0.24140711,9975.85928943,-1.12014241,854,171.41030816,-0.00230159,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
261,742,13,3,0.6,2,0.05,0.3,-0.24529951,9975.47004928,-2.07448193,894,177.72619403,-0.00226259,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
262,795,13,3.5,0.6,2,0.05,0.15,-0.24674877,9975.32512334,-1.28029573,505,101.02174695,-0.00441536,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
